PassengerId,Survived,Others
892,0,1140
893,1,1141
894,0,919
895,1,1148
896,1,918
897,1,1149
898,0,1069
899,0,1068
900,0,1061
901,1,1060
902,0,1063
903,1,1062
904,1,1065
905,0,1064
906,1,1067
907,0,1066
908,0,913
909,1,912
910,0,1087
911,0,1129
912,0,1085
913,0,1084
914,0,1083
915,0,1082
916,0,1081
917,0,1080
918,0,1120
919,0,1121
920,0,1122
921,1,1123
922,1,1124
923,0,1125
924,0,1126
925,1,1127
926,0,1018
927,1,1019
928,0,1014
929,0,1015
930,1,1016
931,0,1017
932,1,1010
933,0,1011
934,1,1012
935,0,1013
936,0,1234
937,0,1235
938,0,1236
939,0,1237
940,1,1230
941,1,1231
942,0,1232
943,1,1233
944,1,1238
945,0,1239
946,1,902
947,0,903
948,0,900
949,1,901
950,0,906
951,0,907
952,1,904
953,1,905
954,0,908
955,0,909
956,0,1241
957,0,1240
958,0,1243
959,1,1242
960,1,1245
961,0,1244
962,0,1247
963,0,1246
964,0,1249
965,0,1248
966,1,1098
967,0,1198
968,1,1052
969,0,1053
970,1,1054
971,0,1055
972,0,1056
973,0,1057
974,0,1191
975,1,1190
976,0,1193
977,0,1192
978,1,1195
979,0,1194
980,1,1197
981,1,1196
982,1,1278
983,1,1279
984,1,1175
985,1,1174
986,0,1173
987,1,1172
988,1,1171
989,1,1051
990,1,1270
991,1,1271
992,1,1272
993,0,1273
994,0,1274
995,0,1275
996,1,1276
997,0,1178
998,0,1285
999,0,1284
1000,1,1287
1001,0,1286
1002,0,1281
1003,0,1280
1004,1,1283
1005,0,1282
1006,1,946
1007,0,947
1008,1,944
1009,0,945
1010,0,1289
1011,1,1288
1012,0,940
1013,0,941
1014,1,1058
1015,1,1059
1016,0,1304
1017,0,1305
1018,0,1306
1019,1,1307
1020,0,1300
1021,0,1301
1022,1,1302
1023,0,1303
1024,0,1308
1025,0,1309
1026,0,1220
1027,0,939
1028,0,938
1029,0,933
1030,1,932
1031,0,931
1032,1,930
1033,0,937
1034,1,936
1035,1,935
1036,1,934
1037,0,1177
1038,0,1176
1039,0,1170
1040,0,1139
1041,0,1138
1042,1,1133
1043,0,1132
1044,0,1131
1045,0,1130
1046,1,1137
1047,1,1136
1048,0,1135
1049,0,1134
1050,1,1179
1051,0,1277
1052,1,1009
1053,1,1008
1054,0,1007
1055,0,1006
1056,1,1005
1057,1,1004
1058,0,1003
1059,1,1002
1060,1,1001
1061,0,1000
1062,0,1227
1063,1,1226
1064,1,1225
1065,1,1224
1066,1,1223
1067,1,1222
1068,1,1221
1069,0,1086
1070,0,1229
1071,1,1228
1072,0,977
1073,0,976
1074,1,975
1075,1,974
1076,0,973
1077,0,972
1078,0,971
1079,0,970
1080,1,979
1081,0,978
1082,1,1089
1083,0,1088
1084,0,1113
1085,0,948
1086,0,949
1087,0,942
1088,1,943
1089,0,1043
1090,0,1042
1091,1,1041
1092,0,1040
1093,0,1047
1094,1,1046
1095,0,1045
1096,0,1044
1097,1,1049
1098,0,1048
1099,1,1142
1100,0,1143
1101,1,1269
1102,0,1268
1103,0,1146
1104,0,1147
1105,0,1144
1106,1,1145
1107,1,1263
1108,1,1262
1109,0,1261
1110,1,1260
1111,0,1267
1112,0,1266
1113,1,1265
1114,0,1264
1115,0,995
1116,0,994
1117,1,997
1118,0,996
1119,1,991
1120,0,990
1121,0,993
1122,1,992
1123,0,999
1124,1,998
1125,0,1023
1126,0,1189
1127,0,928
1128,0,929
1129,1,920
1130,1,921
1131,0,922
1132,1,923
1133,1,924
1134,1,925
1135,1,926
1136,1,927
1137,0,1029
1138,1,1183
1139,0,1209
1140,0,1208
1141,0,1038
1142,0,1039
1143,1,1032
1144,0,1033
1145,1,1030
1146,1,1031
1147,0,1036
1148,1,1037
1149,0,1034
1150,0,1035
1151,1,1212
1152,1,1213
1153,0,1210
1154,1,1211
1155,1,1216
1156,0,1217
1157,0,1214
1158,0,1215
1159,1,1168
1160,1,1128
1161,1,1219
1162,0,1200
1163,0,964
1164,0,965
1165,0,966
1166,1,967
1167,1,960
1168,0,961
1169,1,962
1170,0,963
1171,0,968
1172,0,969
1173,0,1106
1174,1,1107
1175,1,1104
1176,0,1105
1177,0,1102
1178,0,1103
1179,1,1100
1180,0,1101
1181,0,1108
1182,0,1109
1183,0,1090
1184,1,1091
1185,0,892
1186,1,893
1187,1,894
1188,0,895
1189,1,896
1190,0,897
1191,0,898
1192,1,899
1193,1,1099
1194,1,1199
1195,1,1078
1196,1,1079
1197,0,1076
1198,1,1077
1199,0,1074
1200,0,1075
1201,0,1072
1202,0,1073
1203,0,1070
1204,0,1071
1205,0,1112
1206,1,1094
1207,1,1095
1208,1,1096
1209,0,1097
1210,1,1159
1211,0,1158
1212,0,1092
1213,0,1093
1214,1,1155
1215,0,1154
1216,1,1157
1217,1,1156
1218,0,1151
1219,0,1150
1220,1,1153
1221,0,1152
1222,0,1119
1223,1,1050
1224,1,1118
1225,1,1297
1226,0,988
1227,0,989
1228,1,982
1229,0,983
1230,0,980
1231,0,981
1232,0,986
1233,0,987
1234,0,984
1235,0,985
1236,0,1256
1237,0,1257
1238,1,1254
1239,1,1255
1240,0,1252
1241,0,1253
1242,0,1250
1243,1,1251
1244,0,915
1245,1,914
1246,1,917
1247,0,916
1248,0,911
1249,0,910
1250,0,1258
1251,0,1259
1252,1,1025
1253,0,1024
1254,1,1027
1255,0,1026
1256,0,1021
1257,0,1020
1258,0,1188
1259,0,1022
1260,0,1186
1261,1,1187
1262,1,1184
1263,0,1185
1264,1,1182
1265,1,1028
1266,0,1180
1267,1,1181
1268,1,1164
1269,0,1165
1270,1,1166
1271,0,1167
1272,1,1160
1273,0,1161
1274,1,1162
1275,1,1163
1276,1,1205
1277,1,1204
1278,0,1207
1279,0,1206
1280,0,1201
1281,1,1169
1282,0,1203
1283,0,1202
1284,0,959
1285,0,958
1286,0,951
1287,0,950
1288,1,953
1289,1,952
1290,1,955
1291,1,954
1292,1,957
1293,0,956
1294,1,1111
1295,0,1110
1296,1,1298
1297,0,1299
1298,0,1115
1299,0,1114
1300,1,1117
1301,0,1116
1302,1,1292
1303,0,1293
1304,0,1290
1305,0,1291
1306,1,1296
1307,0,1218
1308,0,1294
1309,0,1295
